#Read
4 0.0000000025 1499.679709
32772 0.0000000154 247.672199
65540 0.0000000135 282.194411
98308 0.0000000237 160.967267
131076 0.0000000143 266.225752
163844 0.0000000156 244.634654
196612 0.0000000206 185.547864
229380 0.0000000171 222.625170
262148 0.0000000218 175.167780
294916 0.0000000212 179.992536
327684 0.0000000192 198.437232
360452 0.0000000207 184.289002
393220 0.0000000215 177.639595
425988 0.0000000130 293.778953
458756 0.0000000136 280.257363
491524 0.0000000139 274.534038
524292 0.0000000138 276.446414
557060 0.0000000133 287.253545
589828 0.0000000144 264.933285
622596 0.0000000141 271.332045
655364 0.0000000275 138.805228
688132 0.0000000294 129.617671
720900 0.0000000136 279.664656
753668 0.0000000292 130.753954
786436 0.0000000134 284.365691
819204 0.0000000314 121.470791
851972 0.0000000143 266.777960
884740 0.0000000322 118.476288
917508 0.0000000147 258.997721
950276 0.0000000346 110.102363
983044 0.0000000148 256.987531
1015812 0.0000000358 106.546920
1048580 0.0000000387 98.509761
1081348 0.0000000153 248.570959
1114116 0.0000000396 96.255706
1146884 0.0000000160 237.993477
1179652 0.0000000411 92.820603
1212420 0.0000000162 235.386532
1245188 0.0000000430 88.728248
1277956 0.0000000157 242.555926
1310724 0.0000000442 86.316813
1343492 0.0000000161 237.110982
1376260 0.0000000448 85.223878
1409028 0.0000000164 232.744105
1441796 0.0000000453 84.239251
1474564 0.0000000454 84.031669
1507332 0.0000000137 277.827918
1540100 0.0000000451 84.504994
1572868 0.0000000146 261.825859
1605636 0.0000000145 262.345057
1638404 0.0000000143 267.413451
1671172 0.0000000142 269.201273
1703940 0.0000000144 265.685620
1736708 0.0000000142 269.066665
1769476 0.0000000148 258.207002
1802244 0.0000000157 242.955516
1835012 0.0000000150 254.204517
1867780 0.0000000155 246.861144
1900548 0.0000000167 228.620729
1933316 0.0000000152 251.751430
1966084 0.0000000152 250.452392
1998852 0.0000000181 210.603997
2031620 0.0000000587 64.934939
2064388 0.0000000161 236.930643
2097156 0.0000000188 202.912593
2129924 0.0000000166 229.469168
2162692 0.0000000611 62.406656
2195460 0.0000000204 186.660025
2228228 0.0000000163 234.718744
2260996 0.0000000598 63.751739
2293764 0.0000000220 173.627204
2326532 0.0000000177 215.758660
2359300 0.0000000163 234.496877
2392068 0.0000000656 58.194858
2424836 0.0000000231 165.025865
2457604 0.0000000203 188.012078
2490372 0.0000000177 215.758607
2523140 0.0000000623 61.209506
2555908 0.0000000268 142.134255
2588676 0.0000000201 190.024705
2621444 0.0000000626 60.932189
2654212 0.0000000278 136.989084
2686980 0.0000000202 189.002146
2719748 0.0000000207 184.134476
2752516 0.0000000629 60.672985
2785284 0.0000000283 134.827707
2818052 0.0000000247 154.489613
2850820 0.0000000188 203.374897
2883588 0.0000000634 60.128345
2916356 0.0000000328 116.197297
2949124 0.0000000232 164.378917
2981892 0.0000000651 58.593750
3014660 0.0000000334 114.175524
3047428 0.0000000262 145.744420
3080196 0.0000000213 178.914205
3112964 0.0000000675 56.512516
3145732 0.0000000378 100.968796
3178500 0.0000000247 154.690119
3211268 0.0000000215 177.085874
3244036 0.0000000653 58.386872
3276804 0.0000000366 104.126801
3309572 0.0000000268 142.432057
3342340 0.0000000234 163.216661
3375108 0.0000000642 59.409794
3407876 0.0000000351 108.796454
3440644 0.0000000270 141.092472
3473412 0.0000000699 54.601066
3506180 0.0000000321 118.808892
3538948 0.0000000312 122.264646
3571716 0.0000000288 132.262205
3604484 0.0000000721 52.901092
3637252 0.0000000350 109.025668
3670020 0.0000000314 121.328652
3702788 0.0000000275 138.657534
3735556 0.0000000710 53.691274
3768324 0.0000000353 108.077712
3801092 0.0000000339 112.637128
3833860 0.0000000726 52.544039
3866628 0.0000000449 84.985428
3899396 0.0000000303 125.834607
3932164 0.0000000281 135.627057
3964932 0.0000000276 138.462886
3997700 0.0000000253 150.552488
4030468 0.0000000207 183.955290
4063236 0.0000000207 183.998129
4096004 0.0000000233 163.516002
4128772 0.0000000217 175.473712
4161540 0.0000000221 172.347762
4194308 0.0000000249 153.277113
4227076 0.0000000227 167.751576
4259844 0.0000000212 180.196581
4292612 0.0000000241 158.542757
4325380 0.0000000221 172.935732
4358148 0.0000000206 185.426214
4390916 0.0000000231 164.954412
4423684 0.0000000219 173.990518
4456452 0.0000000205 186.030965
4489220 0.0000000224 170.055984
4521988 0.0000000209 182.743448
4554756 0.0000000223 170.726189
4587524 0.0000000211 180.732772
4620292 0.0000000206 185.241428
4653060 0.0000000209 182.726949
4685828 0.0000000221 172.949054
4718596 0.0000000208 183.777570
4751364 0.0000000204 186.956398
4784132 0.0000000692 55.164253
4816900 0.0000000415 91.971406
4849668 0.0000000404 94.378325
4882436 0.0000000298 128.118558
4915204 0.0000000263 144.843020
4947972 0.0000000257 148.362632
4980740 0.0000000247 154.197845
5013508 0.0000000228 167.223888
5046276 0.0000000709 53.814524
5079044 0.0000000645 59.136626
5111812 0.0000000418 91.343948
5144580 0.0000000243 156.884339
5177348 0.0000000263 145.223367
5210116 0.0000000210 181.883494
5242884 0.0000000218 175.243272
5275652 0.0000000707 53.982191
5308420 0.0000000463 82.359427
5341188 0.0000000486 78.522661
5373956 0.0000000334 114.296438
5406724 0.0000000279 136.891875
5439492 0.0000000260 146.747740
5472260 0.0000000263 145.053965
5505028 0.0000000695 54.915082
5537796 0.0000000311 122.727817
5570564 0.0000000318 119.987418
5603332 0.0000000305 125.055983
5636100 0.0000000336 113.391820
5668868 0.0000000315 121.048199
5701636 0.0000000279 136.921066
5734404 0.0000000738 51.680677
